eventnumber,filenumber,event,pname,eventlabel,Brightness,Difficulty,TSide,TFeature,DFeature,ymaxframe,RT,ButtonRT,abvelthreshold,Vmax5percent,VthresholdGC,Vmax,VmaxMT,stoptime,mainreach,initreach,pathlengthnorm,pathlengthmm,movetime,deceltime,normlength,AUC,maxaperture,maxaptime,stopX,stopY
1548,78,8,p33f28,Datafile processing p33f28 Block 6 event 8,Drk,Bas,Lft,Horz,Miss,65,0.34,386,41,38,31,17.4230287487386,50,64,Correct,Incorrect,1.0211963887046,272.171135617613,0.33,0.14,1.0211963887046,-0.00434938171679715,110.5171747826,0.757575757575758,-114.645849108293,246.26387814162
1549,78,9,p33f28,Datafile processing p33f28 Block 6 event 9,Drk,Bas,Lft,Vert,Miss,67,0.33,351,42,37,32,15.5732443216516,51,66,Correct,Incorrect,1.0201751663913,263.942051319028,0.34,0.15,1.0201751663913,-0.0222201884855309,124.213255646954,0.764705882352941,-143.788537841391,220.766658700659
1550,78,10,p33f28,Datafile processing p33f28 Block 6 event 10,Drk,Hrd,Lft,Horz,Vert,61,0.29,354,38,32,29,17.1781476473403,47,61,Correct,Correct,1.01692004507344,274.065723869711,0.32,0.14,1.01692004507344,0.0117034527145385,113.374741427861,0.78125,-105.494533349246,252.479624487097
1551,78,11,p33f28,Datafile processing p33f28 Block 6 event 11,Drk,Esy,Lft,Vert,Vert,63,0.31,359,39,35,31,15.955111755793,48,63,Correct,Correct,1.01954630123647,260.248891090462,0.32,0.15,1.01954630123647,-0.0264845190936189,125.047445346441,0.75,-141.463589938869,217.069381275723
1552,78,12,p33f28,Datafile processing p33f28 Block 6 event 12,Drk,Hrd,Rgt,Horz,Vert,67,0.34,396,40,36,35,19.3791125597725,52,66,Correct,Correct,1.03373152395016,310.377895505036,0.31,0.14,1.03373152395016,-0.0591211802886384,114.795122347088,0.774193548387097,182.706127451496,250.196715885052
1553,78,13,p33f28,Datafile processing p33f28 Block 6 event 13,Drk,Hrd,Rgt,Vert,Horz,77,0.47,474,53,50,45,20.1409165161928,61,75,Correct,Correct,1.02850848971306,255.728036487154,0.3,0.14,1.02850848971306,-0.0518201346581691,122.794582896037,0.8,145.245942742574,210.214837620309
1554,78,14,p33f28,Datafile processing p33f28 Block 6 event 14,Drk,Hrd,Lft,Horz,Horz,66,0.31,375,42,33,31,17.4003414216078,50,65,Correct,Incorrect,1.05218725099207,273.711346602876,0.34,0.15,1.05218725099207,-0.018895107116278,115.209606453413,0.764705882352941,-127.26944625849,240.915160247804
1555,78,15,p33f28,Datafile processing p33f28 Block 6 event 15,Drk,Bas,Rgt,Vert,Miss,63,0.34,392,38,35,33,18.4297248061295,50,63,Correct,Correct,1.05778615137301,262.775974073684,0.3,0.13,1.05778615137301,-0.0835933885046093,120.252253028079,0.8,148.437704318186,216.870084338999
1556,78,16,p33f28,Datafile processing p33f28 Block 6 event 16,Drk,Esy,Lft,Horz,Vert,64,0.34,364,41,38,33,18.6753043656542,50,64,Correct,Correct,1.01832356789641,274.474888134604,0.31,0.14,1.01832356789641,-0.0223569519747291,111.30911113876,0.774193548387097,-110.088581101844,251.151456983414
1557,78,17,p33f28,Datafile processing p33f28 Block 6 event 17,Drk,Hrd,Lft,Vert,Vert,73,0.4,398,48,37,35,15.9962351935674,57,74,Correct,Incorrect,1.07275298835824,266.380800513067,0.39,0.17,1.07275298835824,-0.00875100041604967,121.146757096122,0.794871794871795,-154.094631935439,216.773383142372
