eventnumber,filenumber,event,pname,eventlabel,Brightness,Difficulty,TSide,TFeature,DFeature,ymaxframe,RT,ButtonRT,abvelthreshold,Vmax5percent,VthresholdGC,Vmax,VmaxMT,stoptime,mainreach,initreach,pathlengthnorm,pathlengthmm,movetime,deceltime,normlength,AUC,maxaperture,maxaptime,stopX,stopY
1521,96,1,p13f19,Datafile processing p13f19 Block 6 event 1,Drk,Esy,Lft,Vert,Vert,101,0.34,0,45,39,37,11.4236486216594,57,92,Correct,Correct,1.00996544659924,281.040971743881,0.55,0.35,1.00996544659924,0.0054576057012017,98.5734158310512,0.781818181818182,-145.781941784633,237.038944841608
1522,96,2,p13f19,Datafile processing p13f19 Block 6 event 2,Drk,Esy,Lft,Horz,Vert,83,0.32,0,44,37,35,10.8146489561076,55,83,Correct,Correct,1.00228631171215,275.040668066892,0.48,0.28,1.00228631171215,0.00270228784833756,89.138073062049,0.791666666666667,-85.5561943582001,258.704805618235
1523,96,3,p13f19,Datafile processing p13f19 Block 6 event 3,Drk,Esy,Rgt,Vert,Vert,85,0.36,0,44,39,38,11.0512781525074,53,84,Correct,Correct,1.02443502731185,253.682900844343,0.46,0.31,1.02443502731185,-0.0588351202799264,94.9207880343142,0.782608695652174,150.499755070953,198.68150286396
1524,96,4,p13f19,Datafile processing p13f19 Block 6 event 4,Drk,Hrd,Rgt,Vert,Horz,114,0.63,0,73,66,66,10.8581131593458,83,113,Correct,Correct,1.01724428202382,253.67562954019,0.47,0.3,1.01724428202382,-0.0395209687129824,92.418194605896,0.680851063829787,147.974916085842,202.07238389776
1525,96,5,p13f19,Datafile processing p13f19 Block 6 event 5,Drk,Esy,Rgt,Horz,Horz,89,0.38,0,47,42,41,12.4775299220469,57,85,Correct,Correct,1.00318572682238,293.43476340738,0.44,0.28,1.00318572682238,-0.00240415556396367,84.6382254609202,0.0227272727272727,175.349132928118,231.829523962358
1526,96,6,p13f19,Datafile processing p13f19 Block 6 event 6,Drk,Esy,Lft,Vert,Horz,100,0.39,0,50,44,42,10.4997317329748,62,96,Correct,Correct,1.00452783832692,270.89808013156,0.54,0.34,1.00452783832692,0.00362958583249312,96.8690757974133,0.851851851851852,-147.135682748418,226.041681125115
1527,96,7,p13f19,Datafile processing p13f19 Block 6 event 7,Drk,Hrd,Rgt,Horz,Vert,112,0.43,0,52,47,46,12.5151109988831,62,109,Correct,Correct,1.00822326215837,311.662034071069,0.63,0.47,1.00822326215837,-0.0236599318949918,84.3721342991199,0.571428571428571,199.326967302327,236.04775522789
1528,96,8,p13f19,Datafile processing p13f19 Block 6 event 8,Drk,Hrd,Lft,Vert,Vert,119,0.65,0,74,69,66,11.6172694861253,85,119,Correct,Correct,1.00894525193864,275.464515308828,0.53,0.34,1.00894525193864,-0.0121712365084581,99.1022440504926,0.830188679245283,-148.132609249249,230.439848076797
1529,96,9,p13f19,Datafile processing p13f19 Block 6 event 9,Drk,Hrd,Rgt,Vert,Vert,98,0.47,0,55,51,48,11.5237041005348,65,96,Correct,Correct,1.03105514903442,255.242352333239,0.48,0.31,1.03105514903442,-0.0537442464661715,90.6023787159155,0.75,153.762173814551,199.156395611337
1530,96,10,p13f19,Datafile processing p13f19 Block 6 event 10,Drk,Hrd,Lft,Horz,Horz,109,0.6,0,71,63,62,10.7206952503745,82,108,Correct,Correct,1.01008129120097,263.58892700679,0.46,0.26,1.01008129120097,0.00706488662571765,88.520085336959,0.847826086956522,-84.7736301360296,246.878696467308
1531,96,11,p13f19,Datafile processing p13f19 Block 6 event 11,Drk,Hrd,Lft,Vert,Horz,121,0.63,0,75,68,66,10.5100092404443,86,120,Correct,Correct,1.01033139517467,268.882387816389,0.54,0.34,1.01033139517467,0.029701154327733,100.431719825154,0.796296296296296,-146.689706389076,223.639638182951
1532,96,12,p13f19,Datafile processing p13f19 Block 6 event 12,Drk,Hrd,Rgt,Horz,Horz,114,0.53,0,62,56,55,10.5040933732811,72,112,Correct,Correct,1.00696455161145,318.639033786618,0.57,0.4,1.00696455161145,-0.0150465148587793,89.6008008211829,0.824561403508772,199.663674118763,246.67053536672
1533,96,13,p13f19,Datafile processing p13f19 Block 6 event 13,Drk,Esy,Lft,Horz,Horz,92,0.38,0,49,43,42,10.3428601828257,60,92,Correct,Correct,1.00059451428996,267.39172406557,0.5,0.32,1.00059451428996,0.00156253745609176,88.0490112434115,0.8,-88.065426818228,251.323795462429
1534,96,14,p13f19,Datafile processing p13f19 Block 6 event 14,Drk,Esy,Rgt,Horz,Vert,88,0.38,0,47,42,41,13.6406820906597,58,86,Correct,Correct,1.00600944927793,320.208190250232,0.45,0.28,1.00600944927793,-0.020709038755941,88.6894585369373,0.844444444444444,197.30010399798,245.983849760909
1535,96,15,p13f19,Datafile processing p13f19 Block 6 event 15,Drk,Hrd,Lft,Horz,Vert,117,0.66,0,78,71,70,10.0246774605277,90,116,Correct,Correct,1.00889601070993,263.281676832302,0.46,0.26,1.00889601070993,-0.0258899542710346,90.3024095268234,0.804347826086957,-91.9942788080237,244.368129778407
1536,96,16,p13f19,Datafile processing p13f19 Block 6 event 16,Drk,Esy,Rgt,Vert,Horz,83,0.39,0,48,44,43,10.6879292269037,58,83,Correct,Correct,1.00238232811368,242.421120349266,0.4,0.25,1.00238232811368,-0.01082766381673,91.7151562912782,0.8,157.567149423795,181.180414743595
1537,97,1,p14m19,Datafile processing p14m19 Block 1 event 1,Bri,Hrd,Rgt,Horz,Horz,133,0.58,0,77,61,60,9.08890769392645,89,135,Correct,Correct,1.01584559154799,299.311800913229,0.75,0.46,1.01584559154799,-0.00798724767196681,110.427892671979,0.813333333333333,177.940242184804,238.320716377218
1538,97,2,p14m19,Datafile processing p14m19 Block 1 event 2,Bri,Hrd,Rgt,Horz,Vert,93,0.46,0,56,50,48,13.0927104775258,68,92,Correct,Correct,1.01364978497223,294.642009511868,0.44,0.24,1.01364978497223,-0.0470996425142443,103.292178342901,0.795454545454545,172.81302089554,236.086947509485
1539,97,3,p14m19,Datafile processing p14m19 Block 1 event 3,Bri,Esy,Lft,Vert,Horz,109,0.51,0,65,56,53,10.5793121391173,77,110,Correct,Correct,1.01878119904592,294.597879143527,0.57,0.33,1.01878119904592,0.0379980101777798,116.96224039936,0.771929824561403,-167.63299822547,241.396824151349
1540,97,4,p14m19,Datafile processing p14m19 Block 1 event 4,Bri,Esy,Lft,Vert,Vert,99,0.37,0,50,41,38,10.5120812485853,63,98,Correct,Correct,1.02248923065812,283.171232070152,0.6,0.35,1.02248923065812,0.0545512565254041,115.502363757635,0.8,-154.055623638719,235.45569475206
1541,97,5,p14m19,Datafile processing p14m19 Block 1 event 5,Bri,Esy,Lft,Horz,Vert,60,0.24,0,33,29,26,13.6704102139115,45,66,Correct,Correct,1.06146430956359,256.125096153965,0.4,0.21,1.06146430956359,0.065458434128768,104.293765349934,0.625,-116.088713584206,224.693030663752
1542,97,6,p14m19,Datafile processing p14m19 Block 1 event 6,Bri,Esy,Lft,Horz,Horz,69,0.31,0,41,36,34,14.0033585424925,53,75,Correct,Correct,1.09964988650732,283.635290983334,0.41,0.22,1.09964988650732,0.103350670447694,113.013840810987,0.731707317073171,-128.319127655203,250.410325761606
1543,97,7,p14m19,Datafile processing p14m19 Block 1 event 7,Bri,Esy,Rgt,Horz,Vert,102,0.45,0,53,48,45,15.9985678890874,63,101,Correct,Correct,1.07490457443388,319.595465432106,0.56,0.38,1.07490457443388,-0.0819095381611094,109.919447664277,0.714285714285714,206.430094795228,242.745702186082
1544,97,8,p14m19,Datafile processing p14m19 Block 1 event 8,Bri,Esy,Rgt,Horz,Horz,69,0.29,0,36,33,31,15.1520649282114,45,68,Correct,Correct,1.00218105548004,303.627751560839,0.37,0.23,1.00218105548004,-0.0169852568286598,104.088096220939,0.756756756756757,179.118900307969,241.325715944033
1545,97,9,p14m19,Datafile processing p14m19 Block 1 event 9,Bri,Hrd,Rgt,Vert,Vert,70,0.28,0,37,31,31,14.4590713884434,46,74,Correct,Correct,1.04216441749352,264.649442589258,0.43,0.28,1.04216441749352,-0.0678897074016515,108.798836663811,0.720930232558139,148.273317827634,220.629110693966
1546,97,10,p14m19,Datafile processing p14m19 Block 1 event 10,Bri,Hrd,Lft,Vert,Vert,91,0.3,0,41,34,33,10.3460644023345,54,86,Correct,Correct,1.00907094367152,275.187806242969,0.53,0.32,1.00907094367152,0.0187434562356178,119.045437112934,0.754716981132076,-147.255406209683,230.460281228883
1547,97,11,p14m19,Datafile processing p14m19 Block 1 event 11,Bri,Esy,Rgt,Vert,Vert,75,0.31,0,39,34,32,14.494149234441,47,74,Correct,Correct,1.09741306568686,264.432345902391,0.42,0.27,1.09741306568686,-0.112845589894335,115.292252454715,0.785714285714286,155.674540137391,212.06043169165
1548,97,12,p14m19,Datafile processing p14m19 Block 1 event 12,Bri,Esy,Rgt,Vert,Horz,75,0.31,0,39,33,32,13.3793665660192,47,75,Correct,Correct,1.06296192887023,266.764696521887,0.43,0.28,1.06296192887023,-0.0943602245358741,111.411930381592,0.837209302325581,154.279502120371,216.638778511826
1549,97,13,p14m19,Datafile processing p14m19 Block 1 event 13,Bri,Hrd,Lft,Vert,Horz,95,0.36,0,48,38,36,12.5417291294365,65,89,Correct,Incorrect,1.22426309831526,277.753627513634,0.53,0.24,1.22426309831526,0.180094727980448,127.725008837582,0.830188679245283,-152.661096373009,229.796117937899
1550,97,14,p14m19,Datafile processing p14m19 Block 1 event 14,Bri,Hrd,Lft,Horz,Horz,79,0.36,0,46,40,39,11.812747421337,59,79,Correct,Correct,1.02921525700177,265.672600844931,0.4,0.2,1.02921525700177,0.0479955635668696,112.242601771199,0.775,-114.021980926442,239.136352135796
1551,97,15,p14m19,Datafile processing p14m19 Block 1 event 15,Bri,Hrd,Rgt,Vert,Horz,88,0.27,0,52,43,45,12.1410652634007,63,88,Incorrect,Incorrect,1.0255736644866,255.831895683445,0.43,0.25,1.0255736644866,0.0390335324383479,115.061664313636,0.767441860465116,-104.086329047731,241.120795187028
1552,97,16,p14m19,Datafile processing p14m19 Block 1 event 16,Bri,Hrd,Lft,Horz,Vert,78,0.37,0,47,42,41,13.2263093186832,59,80,Correct,Correct,1.03011397127511,274.219096192052,0.39,0.21,1.03011397127511,0.0518466403866111,103.71331883613,0.692307692307692,-105.866650136108,251.383540989073
1553,98,1,p14m19,Datafile processing p14m19 Block 2 event 1,Drk,Esy,Rgt,Vert,Vert,82,0.36,0,43,39,37,13.8261985138073,51,81,Correct,Correct,1.06238696788043,258.180780644565,0.44,0.3,1.06238696788043,-0.0853643613186469,111.805784194155,0.681818181818182,150.295906686774,208.257048121361
